elapsed,tokens,decode_s,tok_s,ttft
496.2809398174286,128,3.7859316,33.80937996872421,0.0246589
500.5067677497864,128,3.8830995,32.96335826573591,0.0246936
504.3798007965088,128,3.5065474,36.50314266392064,0.0238421
508.2422218322754,128,3.4094914,37.54225630250893,0.0271273
512.6716961860657,128,4.0506695,31.599714565703277,0.0248287
516.4605417251587,128,3.4541794,37.05655820887589,0.0246537
520.8433568477631,128,3.9364427,32.51666790424766,0.0263128
524.7498054504395,128,3.5788144,35.7660346957361,0.0253808
528.9339051246643,128,3.8326615,33.39715756270153,0.0264304
532.9204857349396,128,3.5932611,35.62223741547755,0.0245095
536.9483382701874,128,3.7046641,34.55104067329613,0.0240232
540.9586486816406,128,3.618491,35.37386164564179,0.0295047
545.1379449367523,128,3.7694798,33.95694015922303,0.0248549
549.310708284378,128,3.8440084,33.29857447762081,0.0244487
553.0032303333282,128,3.3645216,38.044041684856474,0.0241393
557.3289551734924,128,3.9229906,32.62816892806218,0.0236147
561.5177371501923,128,3.8642037,33.12454775611337,0.0277234
565.6750342845917,128,3.8221492,33.489011888913176,0.0283491
569.7439527511597,128,3.6957877,34.63402402686713,0.0247167
574.0062966346741,128,3.937128,32.51100802412317,0.0245261
577.9724206924438,128,3.6231747,35.32813363926393,0.0239072
582.5023698806763,128,4.1622373,30.75269158728648,0.026065
587.1091847419739,128,4.2826308,29.888170607655464,0.0241045
591.413304567337,128,3.9828009,32.13818697289136,0.0235424
595.3384876251221,128,3.5838377,35.715903094607214,0.0241153
599.6855547428131,128,4.0049608,31.960362758107394,0.0259198
603.7594118118286,128,3.7511224,34.1231200560131,0.0254816
607.7309119701385,128,3.6291325,35.27013687155264,0.025132
611.8781759738922,128,3.8087189,33.60710080231964,0.0299663
616.4854619503021,128,4.2229822,30.31033377313312,0.0241972
620.4623074531555,128,3.6370042,35.19380043608418,0.0263614
624.2939929962158,128,3.5162263,36.40266270689119,0.0243931
628.5837898254395,128,3.9464342,32.43434288097341,0.0245567
632.6391441822052,128,3.7116356,34.48614406004727,0.0240029
636.7181308269501,128,3.7334216,34.284903692634124,0.0246176
640.8339035511017,128,3.7166363,34.43974327001004,0.0295961
644.9736738204956,128,3.7799505,33.86287730487476,0.0242124
649.6773428916931,128,4.3708213,29.28511398990391,0.0240145
654.0042312145233,128,3.931481,32.55770535327527,0.0246799
657.9104552268982,128,3.5584575,35.97064177385848,0.0243635
662.4228274822235,128,4.1802264,30.620351089118046,0.0253378
