t,phase,temp,power,sm_mhz,throttle
22.842,load,55,6.153,210,1
22.892,load,55,6.153,210,1
22.943,load,59,9.754,1740,1
22.993,load,59,9.754,1740,1
23.044,load,59,9.754,1740,1
23.094,load,59,9.754,1740,1
23.144,load,59,9.754,1740,1
23.194,load,59,9.754,1740,1
23.245,load,59,9.754,1740,1
23.295,load,59,9.754,1740,1
23.346,load,59,9.754,1740,1
23.396,load,59,9.754,1740,1
23.446,load,61,24.539,1740,1
23.497,load,61,24.539,1740,1
23.547,load,61,24.539,1740,1
23.598,load,61,24.539,1740,1
23.649,load,61,24.539,1740,1
23.699,load,61,24.539,1740,1
23.75,load,61,24.539,1740,1
23.8,load,61,24.539,1740,1
23.851,load,61,24.539,1740,1
23.902,load,61,24.539,1740,1
23.952,load,62,33.381,1740,1
24.002,load,62,33.381,1740,1
24.053,load,62,33.381,1740,1
24.103,load,62,33.381,1740,1
24.154,load,62,33.381,1740,1
24.204,load,62,33.381,1740,1
24.254,load,62,33.381,1740,1
24.305,load,62,33.381,1740,1
24.355,load,62,33.381,1740,1
24.406,load,62,33.381,1740,1
24.457,load,62,33.685,1740,1
24.507,load,62,33.685,1740,1
24.557,load,62,33.685,1740,1
24.608,load,62,33.685,1740,1
24.658,load,62,33.685,1740,1
24.708,load,62,33.685,1740,1
24.759,load,62,33.685,1740,1
24.809,load,62,33.685,1740,1
24.859,load,62,33.685,1740,1
24.91,load,62,33.685,1740,1
24.96,load,62,32.679,1650,1
25.011,load,62,32.679,1650,1
25.061,load,62,32.679,1650,1
25.112,load,62,32.679,1650,1
25.162,load,62,32.679,1650,1
25.213,load,62,32.679,1650,1
25.263,load,62,32.679,1650,1
25.313,load,62,32.679,1650,1
25.364,load,62,32.679,1650,1
25.414,load,62,32.679,1650,1
25.465,load,62,31.406,1597,1
25.515,load,62,31.406,1597,1
25.565,load,62,31.406,1597,1
25.616,load,62,31.406,1597,1
25.666,load,62,31.406,1597,1
25.716,load,62,31.406,1597,1
25.767,load,62,31.406,1597,1
25.818,load,62,31.406,1597,1
25.868,load,62,31.406,1597,1
25.918,load,62,31.406,1597,1
25.969,load,62,29.998,1567,1
26.019,load,62,29.998,1567,1
26.07,load,62,29.998,1567,1
26.12,load,62,29.998,1567,1
26.171,load,62,29.998,1567,1
26.221,load,62,29.998,1567,1
26.272,load,62,29.998,1567,1
