ts,temp,power_w,sm_mhz,throttle
1788093741.2718554,88,33.368,1020,32
1788093741.3223913,88,33.368,1020,32
1788093741.3727,88,33.368,1020,32
1788093741.4232337,88,33.368,1020,32
1788093741.4739292,88,33.368,1020,32
1788093741.5245278,88,33.368,1020,32
1788093741.574956,88,33.368,1020,32
1788093741.6251833,88,33.368,1020,32
1788093741.6758556,89,33.398,997,32
1788093741.7260535,89,33.398,997,32
1788093741.7766128,89,33.398,997,32
1788093741.8270643,89,33.398,997,32
1788093741.8777215,89,33.398,997,32
1788093741.9279609,89,33.398,997,32
1788093741.9783516,89,33.398,997,32
1788093742.028526,89,33.398,997,32
1788093742.078957,89,33.398,997,32
1788093742.129225,89,33.449,885,32
1788093742.179633,89,33.449,885,32
1788093742.230018,89,33.449,885,32
1788093742.2805483,89,33.449,885,32
1788093742.3310988,89,33.449,885,32
1788093742.3815906,89,33.449,885,32
1788093742.4321182,89,33.449,885,32
1788093742.4824908,89,33.449,885,32
1788093742.5327346,89,33.449,885,32
1788093742.5831192,89,33.449,885,32
1788093742.6334414,88,32.794,1237,32
1788093742.6836724,88,32.794,1237,32
1788093742.733837,88,32.794,1237,32
1788093742.7841594,88,32.794,1237,32
1788093742.8344119,88,32.794,1237,32
1788093742.8846183,88,32.794,1237,32
1788093742.9351635,88,32.794,1237,32
1788093742.9856718,88,32.794,1237,32
1788093743.0362756,88,32.794,1237,32
1788093743.0869029,88,32.794,1237,32
1788093743.137231,89,31.941,1237,32
1788093743.1878583,89,31.941,1237,32
1788093743.2384162,89,31.941,1237,32
1788093743.2889967,89,31.941,1237,32
1788093743.3393626,89,31.941,1237,32
1788093743.3897045,89,31.941,1237,32
1788093743.440369,89,31.941,1237,32
1788093743.4905953,89,31.941,1237,32
1788093743.54112,89,31.941,1237,32
1788093743.5917773,89,31.941,1237,32
1788093743.642315,88,31.804,847,32
1788093743.6927707,88,31.804,847,32
1788093743.743239,88,31.804,847,32
1788093743.7936978,88,31.804,847,32
1788093743.844047,88,31.804,847,32
1788093743.894269,88,31.804,847,32
1788093743.9448884,88,31.804,847,32
1788093743.9952831,88,31.804,847,32
1788093744.0457234,88,31.804,847,32
1788093744.096303,88,31.804,847,32
1788093744.1468778,88,32.864,765,32
1788093744.1975703,88,32.864,765,32
1788093744.2482255,88,32.864,765,32
1788093744.298681,88,32.864,765,32
1788093744.3493533,88,32.864,765,32
1788093744.4000034,88,32.864,765,32
1788093744.450613,88,32.864,765,32
1788093744.501216,88,32.864,765,32
1788093744.5518622,88,32.864,765,32
1788093744.6023195,88,32.864,765,32
1788093744.6526158,88,31.93,877,32
1788093744.7030647,88,31.93,877,32
1788093744.7534308,88,31.93,877,32
1788093744.8038585,88,31.93,877,32
1788093744.8543828,88,31.93,877,32
1788093744.904634,88,31.93,877,32
1788093744.9552922,88,31.93,877,32
1788093745.005719,88,31.93,877,32
1788093745.0560563,88,31.93,877,32
1788093745.106453,88,31.93,877,32
1788093745.1570098,88,31.847,660,32
1788093745.2075849,88,31.847,660,32
1788093745.2579525,88,31.847,660,32
1788093745.3083186,88,31.847,660,32
1788093745.3586771,88,31.847,660,32
1788093745.4092855,88,31.847,660,32
1788093745.459918,88,31.847,660,32
1788093745.5100882,88,31.847,660,32
1788093745.5606246,88,31.847,660,32
1788093745.610811,88,31.847,660,32
1788093745.661407,88,31.762,840,32
1788093745.7119832,88,31.762,840,32
1788093745.7626467,88,31.762,840,32
1788093745.8129241,88,31.762,840,32
1788093745.8634775,88,31.762,840,32
1788093745.914008,88,31.762,840,32
1788093745.96472,88,31.762,840,32
1788093746.014899,88,31.762,840,32
1788093746.0655541,88,31.762,840,32
1788093746.116096,88,31.762,840,32
1788093746.1662784,88,31.811,780,32
1788093746.216795,88,31.811,780,32
1788093746.2670393,88,31.811,780,32
1788093746.3175921,88,31.811,780,32
1788093746.3681855,88,31.811,780,32
1788093746.4186726,88,31.811,780,32
1788093746.4690895,88,31.811,780,32
1788093746.5197513,88,31.811,780,32
1788093746.5700142,88,31.811,780,32
1788093746.6205838,88,31.811,780,32
1788093746.671047,88,32.066,1185,32
1788093746.721648,88,32.066,1185,32
1788093746.772007,88,32.066,1185,32
1788093746.822636,88,32.066,1185,32
1788093746.8731139,88,32.066,1185,32
1788093746.923522,88,32.066,1185,32
1788093746.9738827,88,32.066,1185,32
1788093747.0241158,88,32.066,1185,32
1788093747.0744405,88,32.066,1185,32
1788093747.124702,88,32.066,1185,32
1788093747.1752796,88,30.876,1237,32
1788093747.2255757,88,30.876,1237,32
1788093747.2759676,88,30.876,1237,32
1788093747.3262856,88,30.876,1237,32
1788093747.3767848,88,30.876,1237,32
1788093747.4273734,88,30.876,1237,32
1788093747.477739,88,30.876,1237,32
1788093747.5279996,88,30.876,1237,32
1788093747.578532,88,30.876,1237,32
1788093747.6289728,88,30.876,1102,32
1788093747.6794908,89,33.504,1102,32
1788093747.7300422,89,33.504,1102,32
1788093747.78054,89,33.504,1102,32
1788093747.8311284,89,33.504,1102,32
1788093747.881542,89,33.504,1102,32
1788093747.9319563,89,33.504,1102,32
1788093747.98261,89,33.504,1102,32
1788093748.0331318,89,33.504,1102,32
1788093748.0835118,89,33.504,1102,32
1788093748.133983,89,35.87,990,32
1788093748.184165,89,35.87,990,32
1788093748.234335,89,35.87,990,32
1788093748.2846675,89,35.87,990,32
1788093748.335312,89,35.87,990,32
1788093748.3857868,89,35.87,990,32
1788093748.4364712,89,35.87,990,32
1788093748.4867563,89,35.87,990,32
1788093748.5374248,89,35.87,990,32
1788093748.5879717,89,35.87,990,32
1788093748.6385546,88,33.936,960,32
1788093748.6889994,88,33.936,960,32
1788093748.7396364,88,33.936,960,32
1788093748.7900205,88,33.936,960,32
1788093748.8404338,88,33.936,960,32
1788093748.8909814,88,33.936,960,32
1788093748.9412463,88,33.936,960,32
1788093748.9916508,88,33.936,960,32
1788093749.0422,88,33.936,960,32
1788093749.092826,88,33.936,960,32
1788093749.1431372,89,33.707,1065,32
1788093749.1937633,89,33.707,1065,32
1788093749.244353,89,33.707,1065,32
1788093749.2949145,89,33.707,1065,32
1788093749.3452191,89,33.707,1065,32
1788093749.3957071,89,33.707,1065,32
1788093749.4460812,89,33.707,1065,32
1788093749.496362,89,33.707,1065,32
1788093749.546885,89,33.707,1065,32
1788093749.5974255,89,33.707,1065,32
1788093749.6475701,89,33.646,1117,32
1788093749.6980796,89,33.646,1117,32
1788093749.7487218,89,33.646,1117,32
1788093749.7991447,89,33.646,1117,32
1788093749.8495965,89,33.646,1117,32
1788093749.8999844,89,33.646,1117,32
1788093749.9501848,89,33.646,1117,32
1788093750.0008452,89,33.646,1117,32
1788093750.0511682,89,33.646,1117,32
1788093750.1013985,89,33.646,1117,32
1788093750.1516857,89,33.553,1005,32
1788093750.2018545,89,33.553,1005,32
1788093750.2523324,89,33.553,1005,32
1788093750.3027763,89,33.553,1005,32
1788093750.3532412,89,33.553,1005,32
1788093750.4034986,89,33.553,1005,32
1788093750.454034,89,33.553,1005,32
1788093750.5041935,89,33.553,1005,32
1788093750.5546484,89,33.553,1005,32
1788093750.6049116,89,33.553,1005,32
1788093750.6552238,87,30.162,1237,32
1788093750.7058191,87,30.162,1237,32
1788093750.7563045,87,30.162,1237,32
1788093750.8067691,87,30.162,1237,32
1788093750.8574464,87,30.162,1237,32
1788093750.9076605,87,30.162,1237,32
1788093750.9580169,87,30.162,1237,32
1788093751.008469,87,30.162,1237,32
1788093751.0589063,87,30.162,1237,32
1788093751.1093104,87,30.162,1237,32
1788093751.1595302,89,31.481,1237,32
1788093751.2101736,89,31.481,1237,32
1788093751.2604256,89,31.481,1237,32
1788093751.3109314,89,31.481,1237,32
1788093751.3614604,89,31.481,1237,32
1788093751.412107,89,31.481,1237,32
1788093751.4626806,89,31.481,1237,32
1788093751.513179,89,31.481,1237,32
1788093751.5632856,89,31.481,1237,32
1788093751.613843,89,31.481,1237,32
1788093751.664558,89,33.8,960,32
1788093751.7152548,89,33.8,960,32
1788093751.7657726,89,33.8,960,32
1788093751.8159854,89,33.8,960,32
1788093751.8665526,89,33.8,960,32
1788093751.916855,89,33.8,960,32
1788093751.9673073,89,33.8,960,32
1788093752.0177996,89,33.8,960,32
1788093752.0681481,89,33.8,960,32
1788093752.1184945,89,33.8,960,32
1788093752.1686916,88,33.478,690,32
1788093752.219121,88,33.478,690,32
1788093752.2697,88,33.478,690,32
1788093752.3202405,88,33.478,690,32
1788093752.3704488,88,33.478,690,32
1788093752.420924,88,33.478,690,32
1788093752.4713984,88,33.478,690,32
1788093752.5216827,88,33.478,690,32
1788093752.571856,88,33.478,690,32
1788093752.6226423,88,33.478,690,32
1788093752.6732984,88,32.192,915,32
1788093752.7237635,88,32.192,915,32
1788093752.7742977,88,32.192,915,32
1788093752.8247876,88,32.192,915,32
1788093752.8751006,88,32.192,915,32
1788093752.92578,88,32.192,915,32
1788093752.9760022,88,32.192,915,32
1788093753.0265174,88,32.192,915,32
1788093753.077005,88,32.192,915,32
1788093753.1274755,88,32.192,915,32
1788093753.178094,88,32.465,967,32
1788093753.2287006,88,32.465,967,32
1788093753.2788029,88,32.465,967,32
1788093753.329327,88,32.465,967,32
1788093753.3795989,88,32.465,967,32
1788093753.4298995,88,32.465,967,32
1788093753.4802856,88,32.465,967,32
1788093753.5306084,88,32.465,967,32
1788093753.581232,88,32.465,967,32
1788093753.631649,88,32.14,922,32
1788093753.6820643,88,32.14,922,32
1788093753.7323232,88,32.14,922,32
1788093753.7828581,88,32.14,922,32
1788093753.8331661,88,32.14,922,32
1788093753.8836677,88,32.14,922,32
1788093753.934144,88,32.14,922,32
1788093753.9845629,88,32.14,922,32
1788093754.0351021,88,32.14,922,32
1788093754.0857246,88,32.14,922,32
1788093754.135949,88,32.274,1005,32
1788093754.186422,88,32.274,1005,32
1788093754.236691,88,32.274,1005,32
1788093754.2869554,88,32.274,1005,32
1788093754.337214,88,32.274,1005,32
1788093754.3875756,88,32.274,1005,32
1788093754.4380822,88,32.274,1005,32
1788093754.4887397,88,32.274,1005,32
1788093754.5393326,88,32.274,1005,32
1788093754.5895522,88,32.274,1005,32
1788093754.6399434,87,29.525,1237,32
1788093754.6904275,87,29.525,1237,32
1788093754.740975,87,29.525,1237,32
1788093754.791446,87,29.525,1237,32
1788093754.8419616,87,29.525,1237,32
1788093754.892277,87,29.525,1237,32
1788093754.9424686,87,29.525,1237,32
1788093754.9928093,87,29.525,1237,32
1788093755.0433872,87,29.525,1237,32
1788093755.093642,87,29.525,1237,32
1788093755.1439881,89,31.771,1237,32
1788093755.1943538,89,31.771,1237,32
1788093755.2447305,89,31.771,1237,32
1788093755.2954535,89,31.771,1237,32
1788093755.346091,89,31.771,1237,32
1788093755.3967063,89,31.771,1237,32
1788093755.4469757,89,31.771,1237,32
1788093755.4973545,89,31.771,1237,32
1788093755.5475748,89,31.771,1237,32
1788093755.598014,89,31.771,1237,32
1788093755.6486053,88,32.568,622,32
1788093755.6987987,88,32.568,622,32
1788093755.7493188,88,32.568,622,32
1788093755.799668,88,32.568,622,32
1788093755.8498683,88,32.568,622,32
1788093755.9002295,88,32.568,622,32
1788093755.950803,88,32.568,622,32
1788093756.0011399,88,32.568,622,32
1788093756.051601,88,32.568,622,32
1788093756.1019456,88,32.568,622,32
1788093756.1523767,89,32.892,1230,32
1788093756.202664,89,32.892,1230,32
1788093756.2531989,89,32.892,1230,32
1788093756.3037932,89,32.892,1230,32
1788093756.354104,89,32.892,1230,32
1788093756.4046528,89,32.892,1230,32
1788093756.4552476,89,32.892,1230,32
